# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0.20143319      	-8.12940988e-05	9.80223523e-02	1.89682438e-02	9.40282780e-03	9.56541600e-03
0.20414731      	-8.33157674e-05	8.33262932e-02	-2.30202559e-03	-1.23432856e-03	-1.06769703e-03
0.2068599       	-8.47861340e-05	8.01409115e-02	-1.45774095e-02	-7.37349086e-03	-7.20391860e-03
0.20956941      	-8.45915733e-05	7.75650173e-02	-2.46853018e-03	-1.31885666e-03	-1.14967352e-03
0.21228047      	-8.52438996e-05	7.89924559e-02	1.81364451e-02	8.98297866e-03	9.15346646e-03
0.21499306      	-8.05384112e-05	8.17350477e-02	3.02955744e-02	1.50672488e-02	1.52283256e-02
0.21770718      	-8.30561973e-05	8.92069590e-02	1.44355837e-02	7.13473567e-03	7.30084806e-03
0.22042285      	-8.59909983e-05	9.00747394e-02	8.32710081e-03	4.07755941e-03	4.24954140e-03
0.22314007      	-8.92643160e-05	8.23708274e-02	3.98198244e-03	1.90172690e-03	2.08025553e-03
0.22585883      	-9.19259550e-05	8.44404754e-02	1.24915145e-02	6.15383129e-03	6.33768320e-03
0.22857758      	-9.34338967e-05	7.73579025e-02	1.43268127e-02	7.06997248e-03	7.25684027e-03
0.2312948       	-9.05964433e-05	7.54283068e-02	1.23970232e-02	6.10791516e-03	6.28910804e-03
0.23400891      	-8.02085127e-05	7.18989478e-02	5.56918183e-03	2.70438240e-03	2.86479943e-03
0.23671994      	-8.11077619e-05	8.24075624e-02	1.56747963e-02	7.75629041e-03	7.91850593e-03
0.23943097      	-8.54139017e-05	8.98105365e-02	3.62284192e-03	1.72600706e-03	1.89683486e-03
0.24214355      	-8.92336442e-05	1.03853877e-01	8.63771777e-03	4.22962524e-03	4.40809253e-03
0.24485922      	-9.24313557e-05	8.53614859e-02	7.25659440e-03	3.53586584e-03	3.72072856e-03
0.247578        	-9.53400251e-05	8.10713961e-02	3.96957568e-03	1.88944781e-03	2.08012786e-03
0.25029989      	-9.66089469e-05	7.84803131e-02	1.73334059e-03	7.70061348e-04	9.63279242e-04
0.25302334      	-8.71493231e-05	7.08249183e-02	3.28874483e-02	1.63565748e-02	1.65308735e-02
0.25574679      	-8.87230546e-05	8.40179441e-02	1.35006063e-02	6.66158012e-03	6.83902622e-03
